"id";"listing_url";"scrape_id";"last_scraped";"name";"picture_url";"host_id";"host_url";"host_since";"host_response_rate";"host_acceptance_rate";"host_is_superhost";"host_listings_count";"host_total_listings_count";"host_verifications";"host_has_profile_pic";"host_identity_verified";"neighbourhood_cleansed";"latitude";"longitude";"property_type";"room_type";"accommodates";"bathrooms_text";"bedrooms";"beds";"amenities";"price";"minimum_nights";"maximum_nights";"minimum_minimum_nights";"maximum_minimum_nights";"minimum_maximum_nights";"maximum_maximum_nights";"minimum_nights_avg_ntm";"maximum_nights_avg_ntm";"has_availability";"availability_30";"availability_60";"availability_90";"availability_365";"calendar_last_scraped";"number_of_reviews";"number_of_reviews_ltm";"number_of_reviews_l30d";"first_review";"last_review";"review_scores_rating";"review_scores_accuracy";"review_scores_cleanliness";"review_scores_checkin";"review_scores_communication";"review_scores_location";"review_scores_value";"instant_bookable";"calculated_host_listings_count";"calculated_host_listings_count_entire_homes";"calculated_host_listings_count_private_rooms";"calculated_host_listings_count_shared_rooms";"reviews_per_month";"Dataset"
3781;"https://www.airbnb.com/rooms/3781";20210420194355;"2021-04-21";"HARBORSIDE-Walk to subway";"https://a0.muscache.com/pictures/24670/b2de0442_original.jpg";4804;"https://www.airbnb.com/users/show/4804";"2008-12-03";100.0;41.0;False;5.0;5.0;"['email', 'phone', 'reviews']";True;False;"East Boston";42.36413;-71.02991;"Entire apartment";"Entire home/apt";2;"1 bath";1.0;0.0;"[""Washer"", ""Dishwasher"", ""Refrigerator"", ""Patio or balcony"", ""Iron"", ""Heating"", ""Carbon monoxide alarm"", ""Wifi"", ""Free parking on premises"", ""Extra pillows and blankets"", ""Microwave"", ""Shampoo"", ""Air conditioning"", ""Hot water"", ""Cable TV"", ""Long term stays allowed"", ""Hair dryer"", ""Essentials"", ""Free street parking"", ""Coffee maker"", ""Stove"", ""Oven"", ""Hangers"", ""Cooking basics"", ""Dryer"", ""Dedicated workspace"", ""Bed linens"", ""TV with standard cable"", ""Kitchen"", ""Dishes and silverware"", ""Smoke alarm""]";125.0;32;1125;32.0;32.0;1125.0;1125.0;32.0;1125.0;True;1;1;1;106;"2021-04-21";19;3;0;"2015-07-10";"2021-02-26";99.0;10.0;10.0;10.0;10.0;10.0;10.0;False;1;1;0;0;0.27;"Boston"
6695;"https://www.airbnb.com/rooms/6695";20210420194355;"2021-04-21";"$99 Special!! Home Away! Condo";"https://a0.muscache.com/pictures/38ac4797-e7a4-48d8-84a5-e1f724f4282b.jpg";8229;"https://www.airbnb.com/users/show/8229";"2009-02-19";0.0;0.0;True;4.0;4.0;"['email', 'phone', 'reviews', 'kba']";True;True;"Roxbury";42.32802;-71.09387;"Entire condominium";"Entire home/apt";4;"1 bath";1.0;1.0;"[""Washer"", ""Dishwasher"", ""Fire extinguisher"", ""Refrigerator"", ""Iron"", ""Heating"", ""Carbon monoxide alarm"", ""Wifi"", ""Microwave"", ""Keypad"", ""Shampoo"", ""Air conditioning"", ""Hot water"", ""Cable TV"", ""Long term stays allowed"", ""Hair dryer"", ""Luggage dropoff allowed"", ""Essentials"", ""Free street parking"", ""Coffee maker"", ""Stove"", ""Oven"", ""Hangers"", ""Cooking basics"", ""Dryer"", ""Dedicated workspace"", ""TV with standard cable"", ""Kitchen"", ""Dishes and silverware"", ""Smoke alarm""]";169.0;29;730;29.0;29.0;730.0;730.0;29.0;730.0;True;8;19;40;40;"2021-04-21";115;0;0;"2009-08-06";"2019-11-02";96.0;10.0;10.0;10.0;10.0;9.0;10.0;False;4;4;0;0;0.81;"Boston"
10813;"https://www.airbnb.com/rooms/10813";20210420194355;"2021-04-23";"Back Bay Apt-blocks to subway, Newbury St, The Pru";"https://a0.muscache.com/pictures/20b5b9c9-e1f4-43a5-9689-1293a4507510.jpg";38997;"https://www.airbnb.com/users/show/38997";"2009-09-16";97.0;17.0;False;15.0;15.0;"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']";True;True;"Back Bay";42.35061;-71.08787;"Entire apartment";"Entire home/apt";3;"1 bath";0.0;1.0;"[""Wifi"", ""Kitchen"", ""Dishwasher"", ""Refrigerator"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Essentials"", ""Heating"", ""Smoke alarm"", ""Cooking basics"", ""TV with standard cable"", ""Air conditioning"", ""Long term stays allowed"", ""Cable TV"", ""Stove"", ""Shampoo"", ""Coffee maker"", ""Iron"", ""Hot water"", ""Fire extinguisher"", ""Hair dryer"", ""Dishes and silverware"", ""Microwave"", ""Hangers""]";96.0;29;1125;29.0;29.0;1125.0;1125.0;29.0;1125.0;True;29;59;63;307;"2021-04-23";5;1;0;"2016-05-23";"2020-12-02";99.0;10.0;10.0;10.0;10.0;10.0;10.0;False;11;11;0;0;0.08;"Boston"
10986;"https://www.airbnb.com/rooms/10986";20210420194355;"2021-04-21";"North End (Waterfront area)  CLOSE TO MGH & SUBWAY";"https://a0.muscache.com/pictures/46994/567b6064_original.jpg";38997;"https://www.airbnb.com/users/show/38997";"2009-09-16";97.0;17.0;False;15.0;15.0;"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']";True;True;"North End";42.36377;-71.05206;"Entire condominium";"Entire home/apt";2;"1 bath";0.0;1.0;"[""Dishwasher"", ""Fire extinguisher"", ""Refrigerator"", ""Heating"", ""Wifi"", ""Carbon monoxide alarm"", ""Microwave"", ""Lockbox"", ""Air conditioning"", ""Cable TV"", ""Hot water"", ""Long term stays allowed"", ""Essentials"", ""Coffee maker"", ""Hangers"", ""Cooking basics"", ""Dedicated workspace"", ""Bed linens"", ""TV with standard cable"", ""Kitchen"", ""Dishes and silverware"", ""Smoke alarm""]";96.0;29;1125;29.0;29.0;1125.0;1125.0;29.0;1125.0;True;0;1;18;293;"2021-04-21";2;0;0;"2016-05-23";"2016-05-23";0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;11;11;0;0;0.03;"Boston"
13247;"https://www.airbnb.com/rooms/13247";20210420194355;"2021-04-21";"Back Bay studio apartment";"https://a0.muscache.com/pictures/miso/Hosting-13247/original/c735e21c-40dc-4c20-95f3-45a643a93f81.jpeg";51637;"https://www.airbnb.com/users/show/51637";"2009-11-05";0.0;0.0;False;0.0;0.0;"['email', 'phone']";True;False;"Back Bay";42.35164;-71.08752;"Entire home/apt";"Entire home/apt";1;"1 bath";0.0;0.0;"[""Washer"", ""Dishwasher"", ""Fire extinguisher"", ""Refrigerator"", ""Freezer"", ""Iron"", ""Heating"", ""Carbon monoxide alarm"", ""Wifi"", ""Electric stove"", ""Microwave"", ""Air conditioning"", ""Hot water"", ""Cable TV"", ""Long term stays allowed"", ""Hair dryer"", ""Essentials"", ""Coffee maker"", ""Bathtub"", ""Oven"", ""Hangers"", ""Cooking basics"", ""Dryer"", ""Bed linens"", ""TV with standard cable"", ""Kitchen"", ""Dishes and silverware"", ""Smoke alarm""]";75.0;91;365;91.0;91.0;365.0;365.0;91.0;365.0;False;0;0;0;0;"2021-04-21";0;0;0;"1900-01-01";"1900-01-01";0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;2;2;0;0;0.0;"Boston"
16384;"https://www.airbnb.com/rooms/16384";20210420194355;"2021-04-21";"Small Room in Cambridge Kendall MIT";"https://a0.muscache.com/pictures/506512/5d8f63bd_original.jpg";23078;"https://www.airbnb.com/users/show/23078";"2009-06-24";80.0;20.0;False;5.0;5.0;"['email', 'phone', 'facebook', 'reviews', 'jumio', 'selfie', 'government_id', 'identity_manual', 'work_email']";True;True;"Beacon Hill";42.35956;-71.0698;"Private room in apartment";"Private room";1;"1 shared bath";1.0;0.0;"[""Wifi"", ""Long term stays allowed""]";50.0;91;730;91.0;91.0;730.0;730.0;91.0;730.0;True;30;60;90;365;"2021-04-21";0;0;0;"1900-01-01";"1900-01-01";0.0;0.0;0.0;0.0;0.0;0.0;0.0;True;1;0;1;0;0.0;"Boston"
18711;"https://www.airbnb.com/rooms/18711";20210420194355;"2021-04-21";"The Dorset Redline | 3BR 1BA | Short walk to Redline for Mass General and UMass!";"https://a0.muscache.com/pictures/509158a7-36bc-43f3-b068-fcdb9329c13d.jpg";71783;"https://www.airbnb.com/users/show/71783";"2010-01-19";79.0;96.0;False;30.0;30.0;"['email', 'phone', 'reviews', 'kba', 'work_email']";True;True;"Dorchester";42.32212;-71.06096;"Entire apartment";"Entire home/apt";7;"1 bath";3.0;3.0;"[""Dishwasher"", ""Fire extinguisher"", ""Refrigerator"", ""Iron"", ""Heating"", ""Carbon monoxide alarm"", ""Wifi"", ""Microwave"", ""Smart lock"", ""Shampoo"", ""Security cameras on property"", ""Air conditioning"", ""Hot water"", ""Cable TV"", ""Long term stays allowed"", ""Hair dryer"", ""Essentials"", ""Coffee maker"", ""Stove"", ""Pack \u2019n Play/travel crib"", ""Oven"", ""Hangers"", ""Cooking basics"", ""Dedicated workspace"", ""TV with standard cable"", ""Kitchen"", ""Dishes and silverware"", ""Smoke alarm""]";111.0;30;1125;30.0;30.0;1125.0;1125.0;30.0;1125.0;True;0;0;2;252;"2021-04-21";52;0;0;"2010-05-12";"2019-10-05";86.0;9.0;9.0;9.0;9.0;9.0;9.0;True;29;16;13;0;0.39;"Boston"
22195;"https://www.airbnb.com/rooms/22195";20210420194355;"2021-04-22";"Copley House - Premium Studio";"https://a0.muscache.com/pictures/2da762e2-3902-42fb-8235-c76cf5c7f032.jpg";85130;"https://www.airbnb.com/users/show/85130";"2010-02-24";95.0;98.0;False;7.0;7.0;"['email', 'phone', 'reviews', 'jumio', 'government_id']";True;True;"South End";42.34363;-71.07985;"Room in aparthotel";"Private room";4;"1 shared bath";0.0;2.0;"[""Fire extinguisher"", ""Refrigerator"", ""Iron"", ""Heating"", ""Carbon monoxide alarm"", ""Wifi"", ""Paid parking off premises"", ""Microwave"", ""Shampoo"", ""Air conditioning"", ""Hot water"", ""Cable TV"", ""Long term stays allowed"", ""Hair dryer"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Stove"", ""Pack \u2019n Play/travel crib"", ""Hangers"", ""Cooking basics"", ""Bed linens"", ""TV with standard cable"", ""Kitchen"", ""Host greets you"", ""Dishes and silverware"", ""Smoke alarm""]";140.0;1;1125;1.0;4.0;1125.0;1125.0;1.3;1125.0;True;0;0;0;0;"2021-04-22";30;9;0;"2010-05-21";"2021-03-14";74.0;7.0;8.0;9.0;9.0;9.0;8.0;True;6;1;5;0;0.23;"Boston"
22354;"https://www.airbnb.com/rooms/22354";20210420194355;"2021-04-21";"COPLEY SQ...19TH C.TWNHSE SUNNY RM";"https://a0.muscache.com/pictures/75399104/fbf9c621_original.jpg";85770;"https://www.airbnb.com/users/show/85770";"2010-02-26";0.0;0.0;False;4.0;4.0;"['email', 'phone', 'reviews', 'kba', 'work_email']";True;False;"South End";42.34487;-71.07441;"Private room in house";"Private room";1;"0";1.0;1.0;"[""Air conditioning"", ""Essentials"", ""Hot water"", ""Heating"", ""Wifi"", ""Smoke alarm"", ""Long term stays allowed""]";148.0;29;90;29.0;29.0;90.0;90.0;29.0;90.0;True;30;60;90;90;"2021-04-21";316;0;0;"2011-08-02";"2019-12-13";89.0;10.0;9.0;10.0;10.0;10.0;9.0;True;4;0;4;0;2.67;"Boston"
29765;"https://www.airbnb.com/rooms/29765";20210420194355;"2021-04-21";"Luxury suite, Moroccan furnishings";"https://a0.muscache.com/pictures/621420/77d899c1_original.jpg";128280;"https://www.airbnb.com/users/show/128280";"2010-05-19";100.0;100.0;False;2.0;2.0;"['email', 'phone', 'reviews', 'kba']";True;True;"Charlestown";42.37754;-71.06642;"Entire apartment";"Entire home/apt";2;"1 bath";1.0;1.0;"[""Fire extinguisher"", ""Refrigerator"", ""Indoor fireplace"", ""Iron"", ""Heating"", ""Carbon monoxide alarm"", ""Wifi"", ""Extra pillows and blankets"", ""Microwave"", ""Lockbox"", ""Shampoo"", ""Air conditioning"", ""Backyard"", ""Hot water"", ""Cable TV"", ""First aid kit"", ""Breakfast"", ""Hair dryer"", ""Luggage dropoff allowed"", ""Essentials"", ""Coffee maker"", ""Hangers"", ""Bed linens"", ""TV with standard cable"", ""Kitchen"", ""Dishes and silverware"", ""Smoke alarm""]";226.0;2;21;2.0;2.0;21.0;21.0;2.0;21.0;True;19;34;62;179;"2021-04-21";93;0;0;"2010-05-24";"2018-10-21";99.0;10.0;10.0;10.0;10.0;10.0;10.0;False;2;1;1;0;0.7;"Boston"
